5,2,person,597,305,20,46,-1,-1,-1,060523231858
6,2,person,596,305,20,46,-1,-1,-1,060523231858
9,2,person,597,305,20,45,-1,-1,-1,060523231859
9,3,bottle,233,192,406,285,-1,-1,-1,060523231859
9,2,person,597,305,20,44,-1,-1,-1,060523231859
9,3,bottle,233,192,406,285,-1,-1,-1,060523231859
10,2,person,597,305,20,44,-1,-1,-1,060523231859
15,2,person,599,305,20,46,-1,-1,-1,060523231900
15,3,bottle,237,191,398,283,-1,-1,-1,060523231900
15,2,person,599,304,20,47,-1,-1,-1,060523231900
15,3,bottle,238,191,397,282,-1,-1,-1,060523231900
16,2,person,599,304,20,47,-1,-1,-1,060523231900
34,2,bottle,597,304,20,47,-1,-1,-1,060523231903
35,2,person,597,304,20,47,-1,-1,-1,060523231904
37,2,person,598,306,19,44,-1,-1,-1,060523231904
37,3,bottle,238,192,395,282,-1,-1,-1,060523231904
37,2,person,599,306,19,44,-1,-1,-1,060523231904
37,3,bottle,237,192,395,282,-1,-1,-1,060523231904
38,2,person,599,307,19,43,-1,-1,-1,060523231904
45,2,bottle,597,307,20,45,-1,-1,-1,060523231905
45,3,person,238,193,395,282,-1,-1,-1,060523231905
45,2,bottle,597,307,20,45,-1,-1,-1,060523231905
45,3,person,237,194,397,283,-1,-1,-1,060523231905
46,2,person,597,307,20,45,-1,-1,-1,060523231906
50,2,person,600,311,17,39,-1,-1,-1,060523231906
50,3,bottle,228,168,418,305,-1,-1,-1,060523231906
50,2,person,600,312,18,39,-1,-1,-1,060523231906
50,3,bottle,227,164,420,308,-1,-1,-1,060523231906
51,2,person,601,312,17,38,-1,-1,-1,060523231907
53,2,person,598,306,20,44,-1,-1,-1,060523231907
53,3,bottle,215,134,441,338,-1,-1,-1,060523231907
53,2,person,598,305,21,45,-1,-1,-1,060523231907
53,3,bottle,216,131,438,340,-1,-1,-1,060523231907
54,2,person,597,304,21,46,-1,-1,-1,060523231907
86,2,person,598,307,20,45,-1,-1,-1,060523231914
86,3,bottle,176,145,349,331,-1,-1,-1,060523231914
86,2,person,598,308,19,44,-1,-1,-1,060523231914
86,3,bottle,165,145,344,331,-1,-1,-1,060523231914
87,2,person,598,308,19,44,-1,-1,-1,060523231914
109,2,person,599,310,19,43,-1,-1,-1,060523231919
109,3,bottle,185,146,299,331,-1,-1,-1,060523231919
109,2,person,599,310,19,42,-1,-1,-1,060523231919
109,3,bottle,186,146,297,331,-1,-1,-1,060523231919
